Occupation (NOC),Low,Median,High,Province
Industrial engineering and manufacturing technologists and technicians (22302),24.75,39,58.26,AB
Construction estimators (22303),27.88,37.5,60.78,AB
Electrical and electronics engineering technologists and technicians (22310),25,37.34,66.67,AB
Electronic service technicians (household and business equipment) (22311),16,25,40,AB
Industrial instrument technicians and mechanics (22312),26.37,42,60.1,AB
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors (22313)",21.18,36.02,51.21,AB
Managers in health care (30010),32.69,52.88,67.55,AB
Specialists in clinical and laboratory medicine (31100),"115,149","242,048","575,189",AB
Specialists in surgery (31101),"126,161","405,218","878,449",AB
General practitioners and family physicians (31102),"96,125","231,407","456,307",AB
Veterinarians (31103),17.31,50,75,AB
Dentists (31110),"32,867","120,000","270,000",AB
Optometrists (31111),"32,867","84,000","178,000",AB
Audiologists and speech-language pathologists (31112),41.53,52.58,65.36,AB
Pharmacists (31120),37.4,50,62.99,AB
Dietitians and nutritionists (31121),33.38,50,52,AB
Psychologists (31200),33,48.08,68.68,AB
Chiropractors (31201),"32,867","53,600","134,000",AB
Physiotherapists (31202),18,43,55.29,AB
Occupational therapists (31203),39,43,52.36,AB
Kinesiologists and other professional occupations in therapy and assessment (31204),19.98,33,50,AB
Other professional occupations in health diagnosing and treating (31209),"32,867","64,000","139,000",AB
Nursing coordinators and supervisors (31300),24,49,57.69,AB
Registered nurses and registered psychiatric nurses (31301),30.9,46.62,52,AB
Nurse practitioners (31302),33.8,54.46,66.62,AB
"Physician assistants, midwives and allied health professionals (31303)",N/A,30.19,N/A,AB
Opticians (32100),25.5,28.5,30.68,AB
Licensed practical nurses (32101),25.8,30,35.03,AB
Paramedical occupations (32102),20.77,33.65,51,AB
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists (32103)",37,47.3,52.73,AB
Animal health technologists and veterinary technicians (32104),17.79,25,33,AB
Other technical occupations in therapy and assessment (32109),17,24.06,31,AB
Denturists (32110),N/A,"46,800",N/A,AB
Dental hygienists and dental therapists (32111),30,56,65,AB
Dental technologists and technicians (32112),18,25,37,AB
Medical laboratory technologists (32120),25.64,44,47,AB
Medical radiation technologists (32121),33.5,44,48.75,AB
Medical sonographers (32122),40.5,51.5,58.58,AB
Cardiology technologists and electrophysiological diagnostic technologists (32123),35.91,36.66,57.46,AB
Pharmacy technicians (32124),17.88,23.55,38.25,AB
Other medical technologists and technicians (32129),17,31,38,AB
Traditional Chinese medicine practitioners and acupuncturists (32200),N/A,"32,867",N/A,AB
Massage therapists (32201),"32,867","32,867","63,600",AB
Other practitioners of natural healing (32209),N/A,"32,867",N/A,AB
Dental assistants and dental laboratory assistants (33100),24,30,36,AB
Medical laboratory assistants and related technical occupations (33101),22.73,28.41,44,AB
"Nurse aides, orderlies and patient service associates (33102)",17.75,22.62,26,AB
Pharmacy technical assistants and pharmacy assistants (33103),17,24,38,AB
Other assisting occupations in support of health services (33109),17,21.54,28,AB
Government managers - health and social policy development and program administration (40010),45.57,54.61,69,AB
"Government managers - economic analysis, policy development and program administration (40011)",48.08,58.8,70.73,AB
Government managers - education policy development and program administration (40012),44.15,58.42,70.73,AB
Other managers in public administration (40019),43.34,56,72.12,AB
Administrators - post-secondary education and vocational training (40020),26.25,53.85,79.67,AB
School principals and administrators of elementary and secondary education (40021),40.21,52.5,61.62,AB
"Managers in social, community and correctional services (40030)",26.5,40.87,84.73,AB
Commissioned police officers and related occupations in public protection services (40040),N/A,63.04,N/A,AB
Fire chiefs and senior firefighting officers (40041),44.52,58.76,81.02,AB
Commissioned officers of the Canadian Armed Forces (40042),15,36.76,53.39,AB
Judges (41100),"318,500","318,500","383,700",AB
Lawyers and Quebec notaries (41101),17.76,63.65,152.43,AB
University professors and lecturers (41200),34.49,54.81,92.31,AB
Post-secondary teaching and research assistants (41201),15,24,49.45,AB
College and other vocational instructors (41210),23.83,46.61,61.5,AB
Secondary school teachers (41220),28.85,46.8,56.8,AB
Elementary school and kindergarten teachers (41221),26,42.86,52.75,AB
Social workers (41300),22.84,41.68,51.92,AB
Therapists in counselling and related specialized therapies (41301),19.23,35.9,55,AB
Religious leaders (41302),16.15,26,37.61,AB
Police investigators and other investigative occupations (41310),33.65,50,60,AB
Probation and parole officers (41311),30.67,41.1,53.01,AB
Educational counsellors (41320),23.61,38.46,46.65,AB
Career development practitioners and career counsellors (except education) (41321),17.79,26.24,29.91,AB
"Natural and applied science policy researchers, consultants and program officers (41400)",26.44,43.8,60,AB
Economists and economic policy researchers and analysts (41401),24,43.59,76.92,AB
Business development officers and market researchers and analysts (41402),21.06,45.26,99.76,AB
"Social policy researchers, consultants and program officers (41403)",23.59,37.98,53.12,AB
"Health policy researchers, consultants and program officers (41404)",25,39.01,64.1,AB
"Education policy researchers, consultants and program officers (41405)",23.08,45.71,66.35,AB
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",15,29,55.7,AB
Program officers unique to government (41407),27.5,42.6,61.97,AB
Other professional occupations in social science (41409),20.9,37.13,53.17,AB
Police officers (except commissioned) (42100),32.45,46.75,60.1,AB
Firefighters (42101),36.06,49.08,56,AB
Specialized members of the Canadian Armed Forces (42102),N/A,28.58,N/A,AB
Paralegals and related occupations (42200),23.32,37.18,48.13,AB
Social and community service workers (42201),16.75,24,37.55,AB
Early childhood educators and assistants (42202),15,18.5,26.54,AB
Instructors of persons with disabilities (42203),18.2,23,36.98,AB
Religion workers (42204),15,24.99,50.8,AB
Elementary and secondary school teacher assistants (43100),16.22,22,28.5,AB
Other instructors (43109),15,23,38.25,AB
Sheriffs and bailiffs (43200),33.33,37.29,50,AB
Correctional service officers (43201),28,35.6,47.18,AB
By-law enforcement and other regulatory officers (43202),20.61,40.12,57.46,AB
"Border services, customs, and immigration officers (43203)",26,36.9,44.92,AB
Operations Members of the Canadian Armed Forces (43204),20.99,26.94,34.52,AB
Home child care providers (44100),15,18,22.6,AB
"Home support workers, caregivers and related occupations (44101)",16,19,25,AB
Primary combat members of the Canadian Armed Forces (44200),25.64,35.94,44.76,AB
"Student monitors, crossing guards and related occupations (45100)",17.31,23,33.17,AB
"Library, archive, museum and art gallery managers (50010)",21.63,49.45,62.68,AB
"Managers - publishing, motion pictures, broadcasting and performing arts (50011)",30.58,41.96,75.65,AB
"Recreation, sports and fitness program and service directors (50012)",20.51,36.92,42.56,AB
Librarians (51100),18.5,43.66,54.09,AB
Conservators and curators (51101),N/A,41.45,N/A,AB
Archivists (51102),N/A,37.39,N/A,AB
Editors (51110),15,30.95,44.84,AB
Authors and writers (except technical) (51111),20,28.85,44.1,AB
Technical writers (51112),24.43,38.05,59.14,AB
Journalists (51113),15,30.66,49.82,AB
"Translators, terminologists and interpreters (51114)",19,38.46,48.08,AB
"Producers, directors, choreographers and related occupations (51120)",24.36,36,46.63,AB
"Conductors, composers and arrangers (51121)",N/A,"32,867",N/A,AB
Musicians and singers (51122),"32,867","32,867","82,000",AB
Library and public archive technicians (52100),16,26.65,81.53,AB
Film and video camera operators (52110),16.38,29.07,60,AB
Graphic arts technicians (52111),15,31.97,71.32,AB
Broadcast technicians (52112),N/A,39.23,N/A,AB
Audio and video recording technicians (52113),18,28,38,AB
Announcers and other broadcasters (52114),19.23,30.26,75.92,AB
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts (52119)",19,29.98,38,AB
Graphic designers and illustrators (52120),20,28,54.05,AB
Interior designers and interior decorators (52121),18.25,27.88,51.28,AB
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",16.05,21.62,30.72,AB
Photographers (53110),19,20,23,AB
"Motion pictures, broadcasting, photography and performing arts assistants and operators (53111)",16,23.78,35.71,AB
Dancers (53120),22,30.13,46,AB
"Painters, sculptors and other visual artists (53122)",18,29.41,45,AB
"Theatre, fashion, exhibit and other creative designers (53123)",15,23.57,41.6,AB
Artisans and craftspersons (53124),15,19,28,AB
Athletes (53200),16.78,24.77,50.35,AB
Coaches (53201),15,23.08,43.27,AB
"Program leaders and instructors in recreation, sport and fitness (54100)",15.15,19.23,32,AB
Corporate sales managers (60010),38.46,54.52,91.35,AB
Retail and wholesale trade managers (60020),22.5,37.48,76.92,AB
Restaurant and food service managers (60030),17,26.44,45.67,AB
Accommodation service managers (60031),15,34.67,72.12,AB
Managers in customer and personal services (60040),19.71,37.02,51.44,AB
Retail sales supervisors (62010),16,21,40.87,AB
Food service supervisors (62020),15,18,23,AB
Executive housekeepers (62021),17,24.67,29.81,AB
"Accommodation, travel, tourism and related services supervisors (62022)",19,24,42.69,AB
Customer and information services supervisors (62023),21,33.33,57.69,AB
Cleaning supervisors (62024),18,25,33.65,AB
Other services supervisors (62029),17,25,45.01,AB
Technical sales specialists - wholesale trade (62100),20.5,36.06,57.69,AB
Retail and wholesale buyers (62101),16,28.85,41.03,AB
Chefs (62200),15,19,24.62,AB
Funeral directors and embalmers (62201),19.5,26.81,35.38,AB
Insurance agents and brokers (63100),22,32.21,50.48,AB
Real estate agents and salespersons (63101),"32,867","46,400","138,000",AB
Financial sales representatives (63102),20,27.3,55.29,AB
Cooks (63200),15,17,21.63,AB
Butchers - retail and wholesale (63201),15.9,21,27.38,AB
Bakers (63202),15,18,25,AB
Hairstylists and barbers (63210),15,18.03,30,AB
"Estheticians, electrologists and related occupations (63211)",15,19,35,AB
Upholsterers (63221),N/A,17.79,N/A,AB
Retail salespersons and visual merchandisers (64100),15,16,26.92,AB
Sales and account representatives - wholesale trade (non-technical) (64101),19.42,35,59.13,AB
"Tailors, dressmakers, furriers and milliners (64200)",17.25,18.25,20,AB
Maîtres d'hôtel and hosts/hostesses (64300),15,15,20,AB
Bartenders (64301),15,17.5,23,AB
Travel counsellors (64310),15,24.14,43.99,AB
Pursers and flight attendants (64311),24,34.62,60,AB
Airline ticket and service agents (64312),15,19.43,29.96,AB
"Ground and water transport ticket agents, cargo service representatives and related clerks (64313)",15,19.25,27.29,AB
Hotel front desk clerks (64314),15,17,19.23,AB
Tour and travel guides (64320),15,18,23.75,AB
Casino workers (64321),15,19,29,AB
Outdoor sport and recreational guides (64322),15,18.5,25,AB
Customer services representatives - financial institutions (64400),16.25,20,26,AB
Postal services representatives (64401),18,21,29.44,AB
Other customer and information services representatives (64409),15,21.39,33.14,AB
Security guards and related security service occupations (64410),15,18.82,27,AB
Cashiers (65100),15,15,18.2,AB
Service station attendants (65101),15,15,17,AB
"Store shelf stockers, clerks and order fillers (65102)",15,16,24,AB
Other sales related occupations (65109),15,15.55,32.88,AB
Food and beverage servers (65200),15,17,30,AB
"Food counter attendants, kitchen helpers and related support occupations (65201)",15,15.5,19.5,AB
Meat cutters and fishmongers – retail and wholesale (65202),15.5,20.25,28,AB
"Support occupations in accommodation, travel and facilities set-up services (65210)",15,17,23.77,AB
"Operators and attendants in amusement, recreation and sport (65211)",15,16,27,AB
Pet groomers and animal care workers (65220),15,17,37.88,AB
Other support occupations in personal services (65229),N/A,"39,600",N/A,AB
Light duty cleaners (65310),15,18,22,AB
Specialized cleaners (65311),15,20,38,AB
"Janitors, caretakers and heavy-duty cleaners (65312)",15,21,38.19,AB
"Dry cleaning, laundry and related occupations (65320)",15,16.5,22,AB
Other service support occupations (65329),15,16,19.64,AB
Construction managers (70010),28.85,48.84,78,AB
Home building and renovation managers (70011),"32,867","60,400","121,000",AB
Facility operation and maintenance managers (70012),28.85,42.56,62.5,AB
Managers in transportation (70020),36.35,41.27,62.5,AB
Postal and courier services managers (70021),17.17,27.99,53.18,AB
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",25.7,44,54,AB
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",28,40.5,55,AB
"Contractors and supervisors, pipefitting trades (72012)",30,45,53.2,AB
"Contractors and supervisors, carpentry trades (72013)",28,36.06,51,AB
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",29,36,51.2,AB
