Occupation (NOC),Low,Median,High,Province
"Supervisors, furniture and fixtures manufacturing (92022)",22.22,28.85,50.26,ON
"Supervisors, other mechanical and metal products manufacturing (92023)",23.91,32,46.18,ON
"Supervisors, other products manufacturing and assembly (92024)",20,30,45.64,ON
Power engineers and power systems operators (92100),30,41.18,65,ON
Water and waste treatment plant operators (92101),24,33.86,42.79,ON
"Central control and process operators, mineral and metal processing (93100)",21,38,52.38,ON
"Central control and process operators, petroleum, gas and chemical processing (93101)",23,42,60.5,ON
"Pulping, papermaking and coating control operators (93102)",N/A,34.81,N/A,ON
Aircraft assemblers and aircraft assembly inspectors (93200),18.57,30,37.9,ON
"Machine operators, mineral and metal processing (94100)",20,26,35.62,ON
Foundry workers (94101),16.55,20.4,26.9,ON
Glass forming and finishing machine operators and glass cutters (94102),16.89,20,26.99,ON
"Concrete, clay and stone forming operators (94103)",18,24.78,33,ON
"Inspectors and testers, mineral and metal processing (94104)",17,23.04,32.19,ON
Metalworking and forging machine operators (94105),16.55,21.5,27.5,ON
Machining tool operators (94106),17,25,35,ON
Machine operators of other metal products (94107),16.55,21,30,ON
Chemical plant machine operators (94110),18,25.82,39,ON
Plastics processing machine operators (94111),17,21.09,32.69,ON
Rubber processing machine operators and related workers (94112),17,23.4,32.28,ON
Sawmill machine operators (94120),17,21.77,28.24,ON
"Pulp mill, papermaking and finishing machine operators (94121)",19,25.86,39.8,ON
Paper converting machine operators (94122),16.55,21.62,27,ON
Lumber graders and other wood processing inspectors and graders (94123),17,22.33,31.39,ON
Woodworking machine operators (94124),18,20,27,ON
Other wood processing machine operators (94129),19,20,27.77,ON
